Li_eGFR_500	Li_UACR_500	Li_eGFR_Monogenic	Li_UACR_Monogenic	Sheng_eGFR	Sheng_SBP	Sheng_Kidney_Function	Cippa_Acute_Injury	Cippa_Acute_Early_TF	Cippa_Acute_Mouse_Overlap	Cippa_Late_Fibrosis	Cippa_Late_Recovery	Cippa_Mid_Acute	Cippa_Late	Cippa_Late_Mouse_Overlap	Cippa_Late_TF	Cippa_Fibrosis_Branch	Cippa_Acute_Human_Specific	Cippa_Late_Human_Specific
SORL1	ABR								NAT8B		AL138826.1	LINC01158	ZNF568			MPZL2		SLC22A6
PIGR	LGR4								ALDH6A1		AC010307.4	MAP3K3	EDN1			ERP27		NECAB2
LINC00864	KIF3B								MT1L		PPBP	UQCRC2	ZNF35			BABAM2		SLC12A3
FLRT3	RHOV								ECI2		APOA2	SLC15A2	WDR44			NIF3L1		PTH1R
SULT2B1	ADM5								FTL		MTCO1P12	TMEM176B	ZBTB33			TMEM60		ASS1
OSMR	ST8SIA6-AS1								CES2		HBA2	ACPP	SULT1C4			HCST		EAF2
MYH9	KRTCAP3								AK4		LINC02303	POLR1E	KARS			SEL1L		CTXN3
PLEKHA4	AC019117.1								NET1		HBB	NDUFS2	TCTN3			PAPSS1		KL
CD37	SEPT11								SELENOP		HBA1	CASR	PRKRIP1			TUBA1B		SLC5A12
RP11-401F2.3	TRIM29								MT1H		MTND4P24	MRPL15	TGFBRAP1			RAB25		MIOX
LCN6	CCDC34								HNF4A		MTCO3P12	KLF7	CCT5			SLC38A1		ACSF2
PVRL1	CDK10								WDR72		IGLV2.14	WLS	CPQ			MFAP1		APOC3
DAB2	TRIB1								IQGAP2		MTCO1P40	METTL3	CTNNA1			PSME2		COTL1
HBG2	VIM								TM7SF3			AKAP7	BCAS2			TXLNA		FAM151A
PIP5K1B	NTF4								SLC9A3R1				SNX6			CRKL		ALDH4A1
SLC37A4	BMPR2								ENPEP				SRSF3			ERO1A		CRABP1
TSPAN1	PRMT8								AL031710.1				ST6GAL1			TRMT112		MARC2
CDH3	CKS1B								UPP2				ARPC1B			UFC1		HPGD
SLCO4A1	RASIP1								GLYAT				SERPINB1			RNF168		SLC4A4
TGFBR2	ASXL1								TMEM256				RSU1			ATP6V1F		GATM
SLC2A12	FUT2								NQO2				CHMP2A			PSMB4		SLC7A8
DUOXA2	MTRNR2L8								ADH6				TSPAN1			RPS4X		SLC36A2
PTPRJ	SLC29A1								CXCL14				TRMT112			ANXA4		AFM
OIP5	CA11								SLC17A3				ARPC4			GNL3L		ASPDH
POC1A	PHLDA3								C1orf115				MCRS1			EFNA5		ANGPTL3
MUC1	CASZ1								SAT2				GOLGA3			VPS35		PRAP1
C1orf64	RP1-261G23.7								ITM2B				PTGFRN			SNRPC		PRODH2
DPEP1	CSRP1								ACOT7				ATP6V1F			MRPL10		SLC22A8
PAX8	LGR4								SLC27A2				CTSS			ANXA7		MRO
ATP5O	NUCB1								HAAO				TEKT2			TTC1		PAH
USP2	RRAS								MAF				SERTAD2			COPZ1		AFP
DDX17	CSRP1								GIPC2				CDC123			ECD		FBP1
ENTPD2	IER3								STAU1				MANBAL			MAPK1IP1L		DAO
RP1-261G23.5	KRTAP5-10								AC092813.2				TRAV30			MRPS9		GPAT3
HSPB1	KRTCAP3								FAH				TAOK1			EDN1		ALB
SLC25A37	PTK7								GPD1				SSR4			MRM2		NOX4
WDR72	HLA-DMB								CLDN8				SNHG5			PWP1		ALDOB
TMEM82	HOXA3								MT.ND5				TMEM39B			EIF1		SPINK1
C9	FTL								AZGP1				TMEM159			OSER1		CYP27B1
TSKS	PSMB9								MT.CO1				MRFAP1L1			ARCN1		NPL
KCNMA1	DUOX2								ALAD				FAM32A			DRG1		DPEP1
DUSP11	AMPD3								PBLD				NFYA			MMADHC		APOH
HIP1	HLA-DPA1								SEPHS2				PIAS2			XRN2		GPX3
GIPC2	HOTAIRM1								GLUD1				COL4A4			ARHGAP18		MRLN
COL21A1	SYNGR4								PDZK1IP1				RASA1			ABCF3		PROZ
FAM83E	SCAMP5								PEPD				XRCC1			MEA1		HPD
HSPB7	ACOXL								SLC2A2				RNF114			GTF2B		FABP1
KIF11	SLC43A2								TDP2				ALDH1A2			ATIC		PPBP
